user_id,message_length,word_count,response_time,sentiment_score,bert_sentiment_num,lda_score_15,lda_topic_15,w2v_cluster,w2v_1,w2v_2,w2v_3,w2v_4,w2v_5,w2v_6,w2v_7,w2v_8,w2v_9,w2v_10,w2v_11,w2v_12,w2v_13,w2v_14,w2v_15,w2v_16,w2v_17,w2v_18,w2v_19,w2v_20,w2v_21,w2v_22,w2v_23,w2v_24,w2v_25,w2v_26,w2v_27,w2v_28,w2v_29,w2v_30,w2v_31,w2v_32,w2v_33,w2v_34,w2v_35,w2v_36,w2v_37,w2v_38,w2v_39,w2v_40,w2v_41,w2v_42,w2v_43,w2v_44,w2v_45,w2v_46,w2v_47,w2v_48,w2v_49,w2v_50,similarity
100,59.755319148936174,10.702127659574469,77941.3829787234,0.19829361702127662,0.6063829787234043,0.40326083,6,1,-0.3455454375531915,0.7226851588297872,-0.41809989808510634,0.37289508425531914,-1.1703399498936171,0.4769857682234042,-0.3352299364468085,0.40342541712765956,-0.09521166808191489,0.18447327240531916,-0.7624009169148936,-0.443390344787234,-0.2648503719574468,0.7189888873404257,-0.7018466945744681,-0.19534681381914892,-0.10673269510276596,0.5498123371276595,-0.681361695,-0.25397921685106384,-0.6084082723404255,-0.41717535021276597,0.7144375780851064,1.13430385,0.17213533973404258,-0.4607694484042553,0.31888284039361703,-1.3493787340425532,0.9159207764893618,0.5246439329787234,0.004240470250265957,-0.004782693918191489,0.30600987372340427,-0.4546659076595745,0.06576856221170213,-0.7728382837234042,-0.5138131858510638,0.8742781693617022,-0.25439685738297874,-1.1509510007446808,-0.4404719285106383,0.28922957112765957,0.1975943609574468,-0.20351384775531914,0.31910172623404254,0.08353617597127659,-0.3217379714893617,-0.6924152759574469,0.32258924031914893,-0.6377605079787234,1.0
1001,51.75,10.75,216774.75,0.42169999999999996,0.5,0.32201248,10,1,-0.3695428825,0.7863994825,-0.4576264725,0.3890825325,-1.1635498,0.48919,-0.3647715125,0.4153673275,-0.1604776735,0.14199859,-0.797387385,-0.4145490575,-0.256540525,0.7066932575,-0.7062894675,-0.142438776,-0.10407892075,0.5498447399999999,-0.7306178125,-0.28728729750000004,-0.566351365,-0.406018725,0.704624795,1.160995975,0.15628586849999998,-0.4674726025,0.3604663125,-1.380121725,0.9564227599999999,0.525810195,0.016894966999999997,0.07247558325,0.35410261,-0.474563455,0.09314721825,-0.758892005,-0.48183811499999996,0.89434608,-0.2946560125,-1.152924325,-0.41264829,0.27133449,0.2161547475,-0.2059095025,0.2832859025,0.15933819375,-0.27039891250000003,-0.7219929625,0.2950813975,-0.6297868175,0.9999998562324678
1003,31.78810408921933,6.353159851301116,148212.63568773234,0.20606226765799254,0.6356877323420075,0.36294416,0,1,-0.4162201254089219,0.8357789152602231,-0.44230785050929367,0.343000073,-1.1165211403159851,0.4417490621124535,-0.30793644131598513,0.4539909634386617,-0.11519241062379182,0.13913503673940522,-0.7272441836802974,-0.3978525985464684,-0.3067583537211896,0.7885156580669145,-0.7264379214498141,-0.2056189261302974,0.011902972195167286,0.5854854640148699,-0.6652901500130112,-0.24259712498754646,-0.5969349888104089,-0.4356116688475836,0.7781111918215614,1.1638530220817844,0.11580888254591079,-0.46403571473977695,0.38098314409479556,-1.3376208620446097,0.8767747672862454,0.570527443141264,-0.00664322510061896,-0.03469531040167286,0.3220858513048327,-0.4161273209921933,0.05557369008828997,-0.8033507774535316,-0.5315437523048328,0.8305008419702602,-0.2941156511767658,-1.1683961755947956,-0.4168395161710037,0.3334674069795539,0.2132885729042751,-0.24252748928531598,0.37354101902788106,0.17654196632193309,-0.38258975392193306,-0.7182022591078068,0.31710632911152414,-0.6227066044981412,0.9999998427785206
1005,119.36521739130434,22.304347826086957,117811.09565217391,0.24312608695652177,0.5217391304347826,0.36482856,6,1,-0.3140742332173913,0.706333707652174,-0.44965456800000003,0.33130395130434787,-1.2041356860869565,0.4728882238260869,-0.38258920860869566,0.3887393542608696,-0.13452283623478262,0.1481931494,-0.813174007652174,-0.41994771556521737,-0.25752173939130435,0.7224561001739132,-0.7136977490434783,-0.13297850417304347,-0.09271463664347826,0.5274089366086956,-0.7172293104347826,-0.2708007593043478,-0.5882624651304348,-0.3845401266956522,0.7067851354782608,1.1079934486086958,0.1431070917878261,-0.4373168036521739,0.3469216909391304,-1.3544038260869564,0.9509380749565217,0.5003952450434783,-6.620394530434776e-05,0.025638841164956523,0.32056518869565215,-0.4714280970434782,0.1199818411321739,-0.7256222743478261,-0.4870127608695652,0.8548617546086957,-0.3059329185826087,-1.1442505204347826,-0.388000188,0.24568194029565216,0.19093699869565217,-0.20906433115652176,0.2873212403478261,0.11821634987826087,-0.2721290732173913,-0.6545414849565218,0.3178529112173913,-0.6481538930434783,0.9999999680954379
1006,30.97347480106101,5.949602122015915,62120.64190981432,0.19442042440318302,0.7214854111405835,0.5127566,14,1,-0.3895057119761273,0.7970174228647214,-0.4513838739204244,0.3590549287511936,-1.1642616131034482,0.4615791550530504,-0.3474325317771883,0.4246231420291777,-0.1288623373822281,0.16510052469655173,-0.7716700818302388,-0.3859606216220159,-0.2686245085013263,0.7415566190371352,-0.7221348844297082,-0.14832047766259948,-0.03624712880891247,0.5682048928116711,-0.6429768616657825,-0.23624594653050396,-0.5940392755968169,-0.4047587402970822,0.7680666266047744,1.1438437446419099,0.11676656388992043,-0.45707991840848805,0.3601940566912467,-1.314151438116711,0.8913764248541114,0.5843032412997348,-0.019623313561777187,-0.01720802202811671,0.3151328505400531,-0.4402095258726791,0.07669431173183024,-0.7568803167374005,-0.538814938469496,0.8132679845580902,-0.2827573106153846,-1.1558599547745358,-0.4089214586047745,0.29410515106763924,0.18490735049602122,-0.2120543828204244,0.31193849099204246,0.17043184007851458,-0.3146229099893899,-0.6798574694429708,0.33851926674005306,-0.6500996669496021,0.9999999631018991
1008,94.49063876651982,18.15748898678414,573699.2131057269,0.058860737885462554,0.35462555066079293,0.39202508,1,1,-0.35567348362059475,0.7507717263215858,-0.4629282711624449,0.3194043076976872,-1.1795238830479073,0.4558584968177313,-0.3600177378875551,0.4207174257599119,-0.14064484677805067,0.1491773662518502,-0.7902971718116739,-0.39262826346954843,-0.28371813493337006,0.7397127831112336,-0.7236249101211454,-0.13243478477232928,-0.04421348956630066,0.5611490695457049,-0.7131777068419604,-0.2563905216769824,-0.5912900340781938,-0.4019221492772577,0.74458437069163,1.1245146634911893,0.12634845534625552,-0.459404136194934,0.37936220985297353,-1.3364040006360132,0.9555330228744493,0.5260688681464758,0.010619161184909692,-0.0017189070137169605,0.3267789683619493,-0.46276321226486783,0.10810425352957378,-0.7452679504845815,-0.49989073746420704,0.8538759379129955,-0.32750183985770925,-1.1439927300220265,-0.4042636390545154,0.25761134374080397,0.1891278065027533,-0.2030805490732379,0.3065864071024229,0.17211483825471366,-0.30854491082599117,-0.6656822951596916,0.3144533287159692,-0.6486003991547357,0.9999998122084841
1010,25.46131805157593,5.355300859598854,39015.79083094556,0.1278656160458453,0.7822349570200573,0.515822,14,1,-0.4107756448280802,0.8465988730659025,-0.48237275647564465,0.3343364225730659,-1.1520300519197708,0.4364732617765043,-0.34735123964469916,0.47361349759312316,-0.17462732048424068,0.140976153108596,-0.7924281387106018,-0.35174159745845274,-0.29044809690544415,0.7580665626848136,-0.7656730879369628,-0.14671334308309456,0.0011297022874011467,0.5942490946704871,-0.662146066773639,-0.2441225509512894,-0.5858018633982808,-0.3951733029226361,0.8261271118767909,1.1929422435243553,0.06875644592808024,-0.45522420959885385,0.38120913469054446,-1.3216312991404011,0.9077149321776505,0.6193399479369628,-0.004640075513037249,-0.021060192224335243,0.335157567234957,-0.4538549429455588,0.08987943903008597,-0.7766834672779369,-0.5389761483553009,0.8072461698567335,-0.33174344027793695,-1.172918718338109,-0.3983050709570201,0.29026864856733525,0.19816687461232094,-0.21158986761776505,0.32102829198853866,0.26141902582148996,-0.33924135159312324,-0.682637453008596,0.3492948750315186,-0.6584427286246418,0.9999999919052271
1011,52.968211206896555,9.594647988505747,1163069.7816091955,0.18160465158045977,0.5729166666666666,0.442695,14,1,-0.3386337350419612,0.7234186671740302,-0.4359432862662087,0.3371170949240302,-1.1639056441215876,0.4694388522950431,-0.3383015643696634,0.40853910828160916,-0.11607395223968571,0.1709071566911428,-0.7780684320400503,-0.4169202581381286,-0.2725718292181393,0.7166897168183549,-0.721700381713362,-0.17648917517032148,-0.090553636858477,0.549836504389727,-0.6702470621773886,-0.2514431070435165,-0.5956415620980604,-0.4008160257969289,0.7104985172016882,1.129617432889727,0.15140813429302621,-0.45001305520204743,0.3185711110878628,-1.3426489052790949,0.923819284558908,0.552719652573635,-0.0012175633339926363,-0.005442258060382004,0.30311059672375606,-0.4565665253449353,0.0772844709297755,-0.7500176324543821,-0.5123735799259339,0.8518685172322198,-0.2703842505584052,-1.1500701899830819,-0.4201628978723778,0.27387403391921694,0.19770586097379417,-0.19976061055127517,0.3033542076802802,0.11378130744008799,-0.31393028984024784,-0.6748023373450072,0.3335288072279005,-0.6300017863817888,0.9999997304627446
1012,40.30691823899371,8.353459119496856,994087.3635220126,0.1767293081761006,0.5974842767295597,0.43034953,14,1,-0.3541914301446541,0.7794964437861636,-0.49052787547383647,0.32482029035496857,-1.1836147171194968,0.4433636496930818,-0.3662453985823899,0.44790102325786163,-0.17539113014578617,0.15468328753422642,-0.8102528609559749,-0.3713806614314465,-0.2798651822792453,0.7368807287672956,-0.7602835949685535,-0.12367682548135848,-0.02509788488615094,0.5751738906968554,-0.7014191115056604,-0.2565285600309434,-0.5809416650867925,-0.37674622488621384,0.7740708777610062,1.1552392842767294,0.08462869624896854,-0.4489215718616352,0.3608854290638994,-1.3247824115220126,0.95032388481761,0.5834902446163522,0.0010596887585635221,-0.005204313471836477,0.32720325026691827,-0.4719532983245283,0.1206454282066415,-0.7515917450566039,-0.5065975613899371,0.8176850945776102,-0.33788778950767295,-1.1660138091874215,-0.3985104769069182,0.2455636256251572,0.18483880423270438,-0.18866729491786163,0.2984779155734591,0.2269600194553082,-0.30152279935597487,-0.6649309493836478,0.3362709917320755,-0.6486320926163522,0.9999997268998835
1013,25.91304347826087,5.217391304347826,91929.04347826086,0.03635217391304348,0.7536231884057971,0.44823414,1,1,-0.4011744188405797,0.802810767826087,-0.4879334852173913,0.32566067188405795,-1.1796137807246379,0.4431327623188406,-0.3522827820289855,0.46447441565217396,-0.163238707057971,0.13794102939130434,-0.785525305942029,-0.35853047166666663,-0.2905955998550725,0.7582456482608696,-0.7519306007246377,-0.18671711004347827,-0.011703074794202899,0.5765215437681159,-0.6749780211594203,-0.25830421855072466,-0.6155427007246377,-0.40460547420289855,0.7936015497101448,1.1951404275362318,0.08488390933768115,-0.45684486927536233,0.3794307107246377,-1.3197339797101448,0.9156876956521739,0.5931811210144927,0.0021184225705797102,-0.03441778781449275,0.31606008942028985,-0.4738224579710145,0.09984827928405797,-0.7547219878260869,-0.5147198217391304,0.8249383126086957,-0.35042667874347827,-1.180423843478261,-0.3731987947826087,0.2783455624637681,0.19647926072463767,-0.2163278294463768,0.3102334894202899,0.22216499981159418,-0.367729824057971,-0.6751714518840579,0.33648761026086954,-0.645542852173913,0.9999998792111989
